מספר נייר,שם עברי, שווי שוק עכשווי ,מכפיל רווח רוב,מכפיל מכירות,מכפיל הון רוב,סהכ הכנסות,שעור רווח נקי רוב,שעור רווח תפעולי, הון רשום למסחר ,ענף פעילות, סך המאזן , הון עצמי ,הון למאזן, רווח תפעולי , רווח לפני מס , רווח נקי , דיבידנד ,תשואת דיבידנד,תשואה חודש,תשואה 3 חודשים ז.א,תשואה חצי שנה,תשואה שנה,תשואה 3 שנים,תכמ חודש,סטיית תקן חודש,שער מינ חודש,שער מקס חודש,יחסי למינ חודש,יחסי מקס חודש,שער בסיס חודש
126011,ג'י סיטי," 1,713 ",-2.22,0.7,0.37,2455000,-31.41,13.77," 186,160,846 ",נדלן ובניה," 38,512,000 "," 11,432,000 ",29.6843," 338,000 "," -636,000 "," -836,000 "," 196,878 ",,-14.18%,-18.82%,-21.66%,-17.46%,-58.88%,5238,31.99%,880,1101,4.55%,-16.44%,1072
156018,מלם תים," 1,334 ",20.42,0.4,2.09,3306637,1.98,5.01," 21,895,230 ",טכנולוגיה," 2,450,393 "," 633,052 ",25.8347," 165,695 "," 79,506 "," 67,027 "," 54,738 ",2.37,-1.06%,20.54%,26.26%,1.52%,-36.96%,767,25.11%,5965,6587,2.16%,-7.48%,6159
161018,וואן טכנולוגיות," 3,593 ",18.9,0.95,5.28,3763063,5.05,7.29," 71,524,092 ",טכנולוגיה," 2,163,339 "," 707,256 ",32.6928," 274,140 "," 259,186 "," 199,786 "," 89,852 ",3.4,-1.53%,3.31%,7.52%,12.14%,25.76%,3049,28.82%,4817.02,5485.5,4.30%,-8.41%,5102.24
224014,כלל עסקי ביטוח," 4,823 ",13.78,0.19,0.55,24919000,1.4,," 79,072,966 ",ביטוח," 164,765,000 "," 8,817,000 ",5.3513,," 567,000 "," 353,000 ",,,-3.89%,-13.68%,8.04%,14.05%,-9.42%,6500,30.86%,5645,6462,8.06%,-5.60%,6305
226019,מבנה," 6,572 ",23.82,5.47,0.81,1201483,22.96,55.24," 755,388,828 ",נדלן ובניה," 18,976,536 "," 8,152,189 ",42.9593," 663,661 "," 365,002 "," 280,188 "," 255,435 ",3.62,-5.75%,-8.92%,-9.84%,-2.18%,-0.46%,9860,23.44%,827.3,950.9,5.77%,-7.98%,915
230011,בזק," 12,451 ",10.61,1.38,4.98,9050000,12.96,19.34," 2,766,904,049 ",מסחר ושרותים," 15,549,000 "," 2,499,000 ",16.0718," 1,750,000 "," 1,525,000 "," 1,173,000 "," 240,000 ",4.36,-0.40%,-3.86%,-4.01%,-1.02%,35.52%,24225,20.44%,435,466.9,3.91%,-3.19%,448.8
232017,ישראמקו     יהש," 4,326 ",8.59,3,1.85,387941,34.91,69.51," 2,590,457,029 ",חיפושי נפט וגז," 1,366,502 "," 627,604 ",45.9278," 269,659 "," 177,344 "," 135,414 ",,7.96,1.14%,-0.99%,19.35%,43.72%,177.08%,7754,23.22%,156,170,7.05%,-1.76%,166
256016,פורמולה מערכות," 4,385 ",18.01,0.45,1.87,2648905,2.47,9.1," 15,332,667 ",טכנולוגיה," 2,808,185 "," 1,306,110 ",46.5108," 241,159 "," 214,307 "," 65,489 ",,1.69,5.30%,2.75%,24.57%,12.83%,-0.54%,6963,35.16%,26950,31740,6.12%,-9.89%,27160
258012,תדיראן גרופ," 1,884 ",30.29,1,3.82,1891458,3.29,5.7," 8,586,001 ",מסחר ושרותים," 1,607,870 "," 493,334 ",30.6825," 107,752 "," 85,654 "," 62,211 "," 66,700 ",1.95,-17.27%,-24.00%,3.94%,-14.80%,-40.25%,3592,47.12%,20970,26750,4.63%,-17.98%,26520
273011,נייס," 43,381 ",31.73,4.73,3.38,2464958,14.92,18.68," 62,870,669 ",טכנולוגיה," 5,046,578 "," 3,458,301 ",68.5276," 460,408 "," 490,920 "," 367,733 ",,,-15.32%,-22.65%,-5.67%,-13.42%,-5.23%,88404,43.93%,69310,85090,-0.16%,-18.67%,83380
281014,איי.סי.אל," 23,203 ",13.11,0.88,1.08,7121000,6.68,12.92," 1,289,774,719 ",תעשיה," 11,486,000 "," 6,044,000 ",52.6206," 920,000 "," 720,000 "," 476,000 ",,4.99,1.47%,-6.92%,-3.28%,-9.11%,-11.08%,29933,25.28%,1691,1841,12.54%,3.37%,1706
288019,סקופ," 1,463 ",9.98,0.88,1.42,1654726,8.86,12.71," 12,191,549 ",מסחר ושרותים," 2,157,618 "," 1,027,366 ",47.6158," 210,380 "," 195,470 "," 146,559 "," 126,440 ",,-5.29%,1.37%,21.27%,-6.76%,29.29%,3717,17.83%,11830,12960,1.44%,-7.41%,12670
314013,דנאל," 1,990 ",-157.31,0.77,3.99,2569895,-0.49,2.72," 5,844,389 ",מסחר ושרותים," 1,329,242 "," 513,116 ",38.6022," 69,942 "," 27,859 "," -14,354 "," 105,454 ",1.1,0.24%,-1.71%,16.93%,63.47%,-39.46%,5469,21.28%,32700,35760,4.13%,-4.78%,33970
323014,מליסרון," 12,931 ",11.64,7.07,1.21,1828000,60.78,101.81," 47,521,792 ",נדלן ובניה," 28,745,000 "," 11,183,000 ",38.9042," 1,861,000 "," 1,453,000 "," 1,128,000 "," 60,000 ",4.38,-4.36%,-9.54%,-3.47%,10.81%,21.14%,17332,18.41%,23595.4,26366.08,19.51%,6.96%,25482.24
