מספר נייר,שם עברי, שווי שוק עכשווי , שווי שוק בשקלים ,מכפיל רווח רוב,מכפיל מכירות,מכפיל הון רוב,סהכ הכנסות,שעור רווח נקי להון העצמי,שעור רווח נקי להון העצמי באחוזים,שעור רווח תפעולי, הון רשום למסחר ,ענף פעילות, סך המאזן , הון עצמי ,הון למאזן,הון למאזן באחוזים, רווח תפעולי , רווח לפני מס , רווח נקי , רווח נקי בשקלים , דיבידנד ,תשואת דיבידנד,תשואת דיבידנד באחוזים,תשואה חודש,תשואה 3 חודשים ז.א,תשואה חצי שנה,תשואה שנה,תשואה 3 שנים,תכמ חודש,סטיית תקן חודש,שער מינ חודש,שער מקס חודש,יחסי למינ חודש,יחסי מקס חודש,שער בסיס חודש
643015,נפטא," 1,867 "," 1,867,000,000 ",6.14,0.9,1.47,2069082,14.69,14.69%,64.14," 94,166,944 ",חיפושי נפט וגז," 6,216,187 "," 3,158,533 ",50.8114,50.81%," 1,327,121 "," 927,415 "," 706,414 "," 706,414,000 "," 400,000 ",19.82,19.82%,5.37%,2.04%,12.45%,28.44%,110.19%,1432,21.29%,1822,1983,8.84%,0.00%,1882
2590248,בזן," 3,128 "," 3,128,220,000 ",3.35,0.1,0.47,8259104,3.04,3.04%,4.73," 3,128,222,577 ",חיפושי נפט וגז," 4,634,188 "," 1,771,885 ",38.2351,38.24%," 390,668 "," 305,303 "," 251,426 "," 251,426,000 ",,16.62,16.62%,-8.73%,-24.37%,-5.14%,16.53%,72.20%,9379,34.17%,95.5,111,4.71%,-9.91%,110
1098565,רבוע נדלן," 3,257 "," 3,257,180,000 ",4.52,5.67,0.93,574061,125.45,125.45%,169.52," 12,199,163 ",נדלן ובניה," 9,887,922 "," 3,501,958 ",35.4165,35.42%," 973,135 "," 911,996 "," 720,806 "," 720,806,000 "," 220,000 ",16.39,16.39%,-5.89%,9.44%,20.93%,40.21%,40.59%,2777,35.48%,25200,29240,5.95%,-8.69%,28370
1134139,קנון," 4,813 "," 4,813,230,000 ",-5.49,1.87,1.08,691796,-34.11,-34.11%,5.02," 52,776,671 ",השקעות ואחזקות," 4,108,440 "," 2,070,224 ",50.3895,50.39%," 34,744 "," 14,731 "," -235,978 "," -235,978,000 ",,14.65,14.65%,9.73%,22.68%,33.85%,18.03%,40.77%,5194,23.59%,8292,9486,9.99%,-3.86%,8551
1159029,הבורסה לניע בתא," 2,357 "," 2,357,320,000 ",28.25,5.92,3.74,398132,20.96,20.96%,15.39," 92,444,048 ",שירותים פיננסים," 2,757,310 "," 630,705 ",22.8739,22.87%," 61,289 "," 111,441 "," 83,435 "," 83,435,000 "," 22,735 ",13.1,13.10%,4.29%,5.64%,47.66%,72.08%,53.39%,5336,28.21%,2396,2695,6.43%,-5.38%,2445
1123850,קרסו מוטורס," 1,655 "," 1,654,840,000 ",9.37,0.35,0.88,4680810,3.77,3.77%,9.23," 89,450,557 ",מסחר ושרותים," 7,170,913 "," 1,888,067 ",26.3295,26.33%," 431,841 "," 233,958 "," 176,698 "," 176,698,000 "," 200,000 ",10.21,10.21%,0.06%,3.75%,44.29%,13.43%,61.09%,2396,16.98%,1776,1919,4.17%,-3.60%,1800
1084128,דלק קבוצה," 7,859 "," 7,859,420,000 ",6.04,0.65,0.81,12144000,10.71,10.71%,36.63," 18,588,973 ",חיפושי נפט וגז," 44,698,000 "," 15,196,000 ",33.997,34.00%," 4,448,000 "," 3,040,000 "," 2,077,000 "," 2,077,000,000 "," 120,000 ",9.91,9.91%,-4.11%,-7.98%,-6.12%,13.59%,195.27%,15354,24.90%,40420,44780,5.84%,-4.47%,44090
1155290,אנרג'יאן," 10,457 "," 10,456,580,000 ",70.28,9.16,19.43,1142054.54,13.03,13.03%,41.8," 183,480,959 ",חיפושי נפט וגז," 4,536,920 "," 538,214 ",11.863,11.86%," 477,365 "," 276,871 "," 148,775 "," 148,774,970 ",,8.55,8.55%,6.89%,18.95%,21.16%,17.28%,73.12%,15231,16.38%,5156,5624,13.62%,4.16%,5211
232017,ישראמקו     יהש," 4,326 "," 4,326,060,000 ",8.59,3,1.85,387941,34.91,34.91%,69.51," 2,590,457,029 ",חיפושי נפט וגז," 1,366,502 "," 627,604 ",45.9278,45.93%," 269,659 "," 177,344 "," 135,414 "," 135,414,000 ",,7.96,7.96%,1.14%,-0.99%,19.35%,43.72%,177.08%,7754,23.22%,156,170,7.05%,-1.76%,166
829010,דלק רכב," 1,844 "," 1,843,510,000 ",16.42,0.32,1.26,5684504,1.97,1.97%,6.65," 96,975,959 ",מסחר ושרותים," 9,953,097 "," 2,660,049 ",26.7258,26.73%," 378,197 "," 81,129 "," 30,567 "," 30,567,000 "," 889,731 ",7.58,7.58%,-4.99%,-17.57%,-14.94%,-23.04%,-33.99%,2945,33.11%,1904,2257,0.05%,-15.60%,2086
