סמל היישוב,שם היישוב,המעמד המוניציפלי או שם המועצה האזורית,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 ינואר עד מרץ
967,אבו ג'ווייעד (שבט),חסר מעמד,1,0,1,0,0,0,0,0,0,0
472,אבו גוש,מועצה מקומית,21,11,26,17,17,15,45,58,137,0
473,אבו סנאן,מועצה מקומית,84,58,35,33,47,41,62,73,65,19
1342,אבו קורינאת (יישוב),נווה מדבר,1,0,1,0,0,10,10,14,16,5
652,אבטין,זבולון,9,8,4,11,9,0,3,7,7,0
1275,אבטליון,משגב,3,7,6,3,1,4,1,1,2,0
679,אביאל,אלונה,0,0,0,0,0,0,0,1,2,0
1115,אביבים,מרום הגליל,0,0,1,0,4,1,1,0,1,0
819,אביגדור,באר טוביה,9,7,0,1,1,1,0,0,1,0
175,אביחיל,עמק חפר,6,4,2,3,1,1,1,0,3,1
2052,אביטל,הגלבוע,1,1,0,1,0,0,1,0,7,1
1070,אביעזר,מטה יהודה,7,2,4,3,4,2,1,1,5,0
1220,אבירים,מעלה יוסף,0,0,1,9,7,10,5,3,4,0
182,אבן יהודה,מועצה מקומית,48,53,83,28,20,50,79,124,419,106
1081,אבן מנחם,מעלה יוסף,1,3,1,1,2,4,2,0,1,0
783,אבן ספיר,מטה יהודה,1,1,0,0,2,2,2,9,11,4
400,אבן שמואל,שפיר,32,27,14,9,8,5,4,0,0,0
4011,אבני איתן,גולן,5,3,5,3,3,9,14,0,5,1
1311,אבשלום,אשכול,3,1,0,13,11,8,12,5,15,0
1068,אדמית,מטה אשר,4,1,0,2,2,1,0,0,2,0
1123,אדרת,מטה יהודה,5,5,3,2,3,0,3,7,11,1
446,אודים,חוף השרון,4,4,3,2,0,0,3,2,0,1
4010,אודם,גולן,3,2,5,2,4,0,5,7,2,1
1046,אוהד,אשכול,0,0,1,2,2,0,2,0,1,0
2710,אום אל-פחם,עירייה,82,115,7,135,78,46,134,82,96,27
2024,אום אל-קוטוף,מנשה,0,2,6,4,2,2,4,16,8,5
1358,אום בטין,אל קסום,0,1,1,0,0,0,1,1,2,0
1108,אומן,הגלבוע,13,12,5,22,28,20,25,13,9,6
680,אומץ,עמק חפר,7,6,1,2,0,1,0,0,0,0
31,אופקים,עירייה,180,514,244,205,318,261,644,581,685,261
1294,אור הגנוז,מרום הגליל,6,4,3,3,0,1,2,3,4,1
67,אור הנר,שער הנגב,1,1,0,1,8,0,21,3,0,0
2400,אור יהודה,עירייה,15,3,6,557,"1,254",588,921,"1,150",296,1
1020,אור עקיבא,עירייה,593,276,194,4,821,389,"1,561",15,387,197
780,אורה,מטה יהודה,7,2,2,2,1,3,0,0,2,0
2012,אורות,באר טוביה,2,2,0,0,0,0,1,1,0,0
4013,אורטל,גולן,4,0,1,4,4,3,3,10,2,0
403,אורים,אשכול,0,0,0,0,0,0,0,12,11,0
278,אושה,זבולון,10,11,0,1,6,2,27,2,5,1
565,אזור,מועצה מקומית,185,27,202,10,15,292,11,16,7,30
1157,אחווה,באר טוביה,0,0,0,0,0,0,0,0,0,0
821,אחוזם,לכיש,4,3,2,1,2,1,3,7,1,0
1330,אחוזת ברק,עמק יזרעאל,17,17,35,1,0,2,0,1,3,0
785,אחיהוד,מטה אשר,0,1,1,1,0,0,1,1,3,0
850,אחיטוב,עמק חפר,3,0,2,2,3,4,0,0,2,0
804,אחיסמך,חבל מודיעין,1,1,1,2,0,0,0,1,0,0
797,אחיעזר,שדות דן,5,1,1,0,0,0,1,2,1,0
716,אייל,דרום השרון,0,15,0,18,0,22,0,0,0,0
77,איילת השחר,הגליל העליון,1,11,10,6,4,7,13,8,13,1
294,אילון,מטה אשר,9,4,8,3,3,1,5,2,3,0
1126,אילות,חבל אילות,4,1,1,0,0,0,0,0,0,0
49,אילנייה,הגליל התחתון,0,0,0,0,0,0,0,0,0,0
2600,אילת,עירייה,27,56,40,134,144,326,802,224,582,260
1336,אירוס,גן רווה,12,31,16,19,9,13,14,18,21,4
37,איתן,שפיר,0,1,0,0,2,5,22,23,6,0
478,אכסאל,מועצה מקומית,100,82,46,44,65,46,55,72,71,20
1359,אל סייד,אל קסום,2,1,2,0,0,1,16,12,26,11
1339,אל -עזי,יואב,0,0,0,1,0,1,0,0,0,0
1316,אל -עריאן,מנשה,0,0,0,0,0,1,0,0,1,0
4003,אל -רום,גולן,2,0,2,5,6,4,8,4,7,1
1145,אלומה,שפיר,0,0,49,10,7,13,7,1,2,1
330,אלומות,עמק הירדן,3,7,2,0,0,0,0,0,1,0
1182,אלון הגליל,עמק יזרעאל,7,7,6,2,7,1,3,2,0,0
429,אלוני אבא,עמק יזרעאל,2,2,4,1,1,0,0,0,2,0
4017,אלוני הבשן,גולן,9,9,2,2,5,2,0,5,4,0
